refid,date,recipient,recipient_cleaned,office,amount
1528,08/18/2014,Eric Lesser,Eric Lesser,"State Senator, First Hampden and Hampshire",100.00
1528,08/18/2014,Mike Day,Michael S. Day,"State Representative, 31st Middlesex",100.00
1528,08/21/2014,Eric Lesser,Eric Lesser,"State Senator, First Hampden and Hampshire",100.00
1528,09/10/2014,Carlo Basile,Carlo Basile,"State Representative, 3rd Suffolk",125.00
1528,10/06/2014,Martha Coakley,Martha Coakley,"Governor, State of Massachusetts",200.00
1528,10/06/2014,Mass. Democratic Party,Mass. Democratic Party,Mass. Democratic Party,50.00
1528,10/21/2014,Harriette Chandler,Harriette Chandler,"State Senator, 1st Worcester",200.00
1528,10/22/2014,Jewish Political Action Committee,Jewish Political Action Committee,Jewish Political Action Committee,200.00
1528,11/30/2014,Martin Walsh,Martin Walsh,"Mayor, City of Boston",150.00
1528,12/17/2014,Marc McGovern,Marc McGovern,Cambridge City Councillor,150.00
1528,12/17/2014,Michelle Wu,Michelle Wu,Boston City Councillor At-large,125.00
1531,02/19/2014,Charlie Baker,Charles Baker,Governor,200.00
1531,04/22/2014,Elisa Zawadzkas,Elisa Zawadzkas,1st Barnstable State Representative,100.00
1531,05/01/2014,Nick Collins,Nicholas P. Collins,4th Suffolk State Representative,100.00
1531,05/15/2014,Martha Coakley,Martha Coakley,Governor,200.00
1531,07/01/2014,Bradley H Jones Jr.,Bradley H. Jones,20th Middlesex,200.00
1531,07/01/2014,Richard T Moore,Richard Moore,Worcester & Norfolk,100.00
1531,07/01/2014,Ryan Fattman,Ryan Fattman,Worcester & Norfolk,50.00
1531,08/01/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1531,10/15/2014,Nick Collins,Nicholas P. Collins,4th Suffolk,100.00
1531,11/30/2014,Marty Walsh,Martin Walsh,Mayor of Boston,200.00
1536,02/12/2014,Robert DeLeo,Robert DeLeo,"House, 19th Suffolk District",200.00
1536,03/14/2014,Deborah Goldberg,Deborah Goldberg,Office of the State Treasurer of the Commonwealth,200.00
1536,03/31/2014,Warren Tolman,Warren Tolman,Office of the Attorney General of the Commonwealth,150.00
1536,07/14/2014,John Mahoney,John J. Mahoney,"House of Representatives, 13th Worcester District",150.00
1536,07/28/2014,Maura Healey,Maura Healey,Office of Attorney General,200.00
1536,09/22/2014,Martha Coakley,Martha Coakley,Governor of the Commonwealth,200.00
1536,10/14/2014,Martin J. Walsh,Martin Walsh,"Mayor, City of Boston",200.00
1544,09/03/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senate, Hampshire, Franklin & Worcester",50.00
1544,11/13/2014,Brian Dempsey,Brian Dempsey,"State Representative, 3rd Essex",50.00
1550,01/21/2014,Martin J. Walsh,Martin Walsh,Mayor of Boston,200.00
1550,04/02/2014,Tito Jackson,Tito Jackson,Boston City Council,200.00
1550,04/02/2014,Matthew O'Malley,Matt O'Malley,Boston City Council,100.00
1550,07/30/2014,Dizoglio Committee,Diana DiZoglio,State Representative,200.00
1550,07/31/2014,Feingold Committee,Barry Finegold,State Treasurer,200.00
1555,01/17/2014,Martha Coakley,Martha Coakley,Governor,200.00
1555,02/03/2014,Richard Moore Committee,Richard Moore,Senate - Worcester & Norfolk,200.00
1555,02/19/2014,Kocot Committee,Peter Kocot,House - 1st Hampshire,200.00
1555,02/24/2014,Richard Ross Committee,Richard Ross,"Senate - Norfolk, Bristol, & Middlesex",200.00
1555,02/24/2014,Dan Hunt Committee,Daniel Hunt,House - 13th Suffolk,200.00
1555,03/05/2014,Dempsey Committee,Brian Dempsey,House - 3rd Essex,200.00
1555,03/06/2014,Sanchez Committee,Jeffrey Sánchez,House - 15th Suffolk,200.00
1555,03/17/2014,David Muradian Committee,David Muradian,House - 9th Worcester,200.00
1555,03/17/2014,Mariano Committee,Ronald Mariano,House - 3rd Norfolk,200.00
1555,03/19/2014,Donato Committee,Paul Donato,House - 35th Middlesex,200.00
1555,03/25/2014,Rodrigues Committee,Michael J. Rodrigues,Senate - 1st Bristol & Plymouth,200.00
1555,04/01/2014,Brewer Committee,Stephen Brewer,"Senate - Worcester, Hampden, Hampshire, & Middlesex",200.00
1555,04/01/2014,O'Connor - Ives Committee,Kathleen O'Connor Ives,Senate - 1st Essex,200.00
1555,04/02/2014,Kulik Committee,Stephen Kulik,House - 1st Franklin,200.00
1555,04/02/2014,Jones Committee,Bradley H. Jones,House - 20th Middlesex,200.00
1555,04/03/2014,Therese Murray Committee,Therese Murray,Senate  - Plymouth & Barnstable,200.00
1555,04/03/2014,Haddad Committee,Patricia Haddad,House - 5th Bristol,200.00
1555,04/07/2014,Dinatale Committee,Stephen DiNatale,House - 3rd Worcester,200.00
1555,04/08/2014,Garrett Bradley Committee,Garrett Bradley,House - 3rd Plymouth,200.00
1555,04/09/2014,Cusack Committee,Mark J. Cusack,House - 5th Norfolk,200.00
1555,04/09/2014,DeLeo Committee,Robert DeLeo,House - 19th Suffolk,200.00
1555,04/09/2014,Michael Moore,Michael Moore,Senate - 2nd Worcester,200.00
1555,04/10/2014,Straus Committee,William Straus,House - 10th Bristol,200.00
1555,04/10/2014,Ferrante Committee,Ann-Margaret Ferrante,House - 5th Essex,200.00
1555,04/16/2014,Paul Brodeaur Committee,Paul Brodeur,House - 32nd Middlesex,200.00
1555,04/16/2014,John Sciback Committee,John Scibak,House - 2nd Hampshire,200.00
1555,04/16/2014,Mahoney Committee,John J. Mahoney,House - 13th Worcester,200.00
1555,04/16/2014,Tackey Chan Committee,Tackey Chan,House - 2nd Norfolk,200.00
1555,04/16/2014,Mike Rush Committee,Mike Rush,Senate - Norfolk & Suffolk,200.00
1555,04/17/2014,Karen Spilka Committee,Karen Spilka,Senate - 2nd Middlesex & Norfolk,200.00
1555,04/17/2014,deMacedo Committee,Viriato deMacedo,House - 1st Plymouth,200.00
1555,04/17/2014,Jennifer Flannagan Committee,Jennifer L. Flanagan,Senate - Worcester & Middlesex,200.00
1555,04/29/2014,Rosenberg Committee,Stanley Rosenberg,"Senate - Hampshire, Franklin, Worcester",200.00
1555,04/30/2014,Kafka Committee,Louis Kafka,House - 8th Norfolk,200.00
1555,04/30/2014,Bill Galvin Committee,William C. Galvin,House - 6th Norfolk,200.00
1555,05/01/2014,Petrucelli Committee,Anthony Petruccelli,Senate - 1st Suffolk & Middlesex,200.00
1555,05/01/2014,Warren Tolman Committee,Warren Tolman,Atty. General,200.00
1555,05/08/2014,Joe Wagner Committee,Joseph F. Wagner,House - 8th Hampden,200.00
1555,05/08/2014,Nangle Committee,David M. Nangle,House - 17th Middlesex,125.00
1555,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1555,05/08/2014,DiDomenico Committee,Sal DiDomenico,Senate - Middlesex & Suffolk,200.00
1555,05/14/2014,Tom Kennedy Committee,Thomas P. Kennedy,Senate - 2nd Plymouth & Bristol,200.00
1555,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,PAC,200.00
1555,05/14/2014,Jen Benson Committee,Jennifer Benson,House - 37th Middlesex,200.00
1555,05/16/2014,Jeff Roy Committee,Jeffrey Roy,House - 10th Norfolk,200.00
1555,05/20/2014,Kate Hogan Committee,Kate Hogan,House - 3rd Middlesex,200.00
1555,06/04/2014,Fennell Committee,Robert F. Fennell,House - 10th Essex,100.00
1555,06/18/2014,Golden Committee,Thomas A. Golden,House - 16th Middlesex,200.00
1555,06/19/2014,Finegold Committee,Barry Finegold,Treasurer,200.00
1555,06/25/2014,Downing Committee,Benjamin Downing,"Senate - Berkshire, Hampshire, Franklin, & Hampden",200.00
1555,06/25/2014,Charlie Baker Committee,Charles Baker,Governor,200.00
1555,06/25/2014,Karen Polito Committee,Karyn Polito,Lt. Governor,200.00
1555,07/16/2014,Garlick Committee,Denise Garlick,House - 13th Norfolk,125.00
1555,07/22/2014,Carvalho Committee,Carvalho,House - 1st Suffolk,100.00
1555,07/24/2014,Gobi Committee,Anne Gobi,House - 5th Worcester,200.00
1555,07/29/2014,Mike Moran Committee,Michael J. Moran,House - 18th Suffolk,200.00
1555,09/02/2014,Fennell Committee,Robert F. Fennell,House - 10th Essex,100.00
1555,09/03/2014,Peterson Committee,George N. Peterson,House - 9th Worcester,200.00
1555,10/23/2014,Lesser Committee,Lesser Committee,Senate - 9th Worcester,200.00
1555,10/25/2014,MA Repubilcan House PAC,Mass. Republican House PAC,PAC,200.00
1556,08/20/2014,Jennifer Flanagan,Jennifer L. Flanagan,"Senate, Worcester and Middlesex",150.00
1557,03/25/2014,Elizabeth Malia,Elizabeth Malia,"Representative, 11th Suffolk",100.00
1557,05/26/2014,Therese Murray,Therese Murray,"Senate,Plymouth and Barnstable",100.00
1557,07/21/2014,Elizabeth A Malia,Elizabeth Malia,Representative 11th Suffolk,50.00
1557,07/21/2014,John F Keenan,John F. Keenan,Senate Norfolk and Plymouth,100.00
1557,08/22/2014,Jennifer Flanagan,Jennifer L. Flanagan,Senate Middlesex and Worcester,100.00
1557,11/19/2014,Robert A DeLeo,Robert DeLeo,Representative 19th Suffolk,100.00
1558,02/04/2014,Warren Tolman,Warren Tolman,"Attorney General, Commonwealth of Massachusetts",200.00
1558,02/20/2014,Daniel Hunt,Daniel Hunt,"State Representative, Thirteeth Suffolk",200.00
1558,02/28/2014,Roy Avellanda,Roy Avellaneda,"State Representative, Second Suffolk",200.00
1558,03/13/2014,Martha Coakley,Martha Coakley,"Governor, Commonwealth of Massachusetts",200.00
1558,06/04/2014,Martin J. Walsh,Martin Walsh,"Mayor, City of Boston",200.00
1558,06/24/2014,Barry Finegold,Barry Finegold,"Treasurer, Commonwealth of Massachusetts",200.00
1558,01/02/2014,Thomas Conroy,Thomas Conroy,"Treasurer, Commonwealth of Massachusetts",200.00
1558,02/14/2014,Warren Tolman,Warren Tolman,"Attorney General, Commonwealth of Massachusetts",100.00
1558,02/28/2014,Roy Avellanda,Roy Avellaneda,"State Representative, Second Suffolk",200.00
1558,03/13/2014,Martha Coakley,Martha Coakley,"Governor, Commonwealth of Massachusetts",200.00
1558,06/04/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,"State Senate, First Essex",100.00
1558,06/23/2014,Paul Iannuccillo,M. Paul Iannuccillo,"Register of Deeds, Northern Essex",100.00
1558,06/24/2014,Barry Finegold,Barry Finegold,"Treasurer, Commonwealth of Massachusetts",100.00
1558,02/06/2014,Martha Coakley,Martha Coakley,"Governor, Commonwealth of Massachusetts",200.00
1558,02/12/2014,Roy Avellanda,Roy Avellaneda,"State Representative, Second Suffolk",200.00
1558,03/06/2014,Martin J. Walsh,Martin Walsh,"Mayor, City of Boston",200.00
1558,03/18/2014,Stan Rosenberg,Stanley Rosenberg,"State Senate, Hampshire, Franklin and Worcester",200.00
1558,03/19/2014,Jason Lewis,Jason Lewis,"State Senate, Fifth Middlesex",100.00
1558,03/25/2014,Tackey Chan,Tackey Chan,"State Representative, Second Norfolk",100.00
1558,03/27/2014,Ron Mariano,Ronald Mariano,"State Representative, Third Norfolk",100.00
1558,04/09/2014,Mark Cusack,Mark J. Cusack,"State Representative, Fifth Norfolk",200.00
1558,04/15/2014,Aaron Michlewitz,Aaron Michlewitz,"State Representative, Third Suffolk",200.00
1558,05/29/2014,Warren Tolman,Warren Tolman,"Attorney General, Commonwealth of Massachusetts",200.00
1558,01/30/2014,Martha Coakley,Martha Coakley,"Governor, Commonwealth of Massachusetts",200.00
1558,02/14/2014,Roy Avellanda,Roy Avellaneda,"State Representative, Second Suffolk",150.00
1558,02/14/2014,Maura Healey,Maura Healey,"Attorney General, Commonwealth of Massachusetts",200.00
1558,03/08/2014,Barry Finegold,Barry Finegold,"Treasurer, Commonwealth of Massachusetts",200.00
1558,03/25/2014,Tackey Chan,Tackey Chan,"State Representative, Second Norfolk",200.00
1558,04/09/2014,Mark Cusack,Mark J. Cusack,"State Represenative, Fifth Norfolk",200.00
1558,04/18/2014,Stephen Kerrigan,Steve Kerrigan,"Lt. Governor, Commonwealth of Massachusetts",200.00
1558,05/29/2014,Warren Tolman,Warren Tolman,"Attorney General, Commonwealth of Massachusetts",200.00
1558,06/19/2014,Martin J. Walsh,Martin Walsh,"Mayor, City of Boston",200.00
1558,07/29/2014,Thomas Conroy,Thomas Conroy,Candidate for State Treasurer,200.00
1558,08/12/2014,Steve Kerrigan,Steve Kerrigan,Candidate for Lt. Governor,200.00
1558,10/21/2014,Maura Healey,Maura Healey,Candidate for Attorney General,200.00
1558,10/29/2014,Charles Baker,Charles Baker,Candidate for Governor,200.00
1558,12/20/2014,Michael Rush,Mike Rush,State Senator - District Norfolk and Suffolk,200.00
1558,09/09/2014,Barbara L'Italien,Barbara L'Italien,"State Representative, Essex",100.00
1558,10/10/2014,Maura Healey,Maura Healey,Candidate for Attorney General,100.00
1558,10/14/2014,Steve Kerrigan,Steve Kerrigan,Candidate for Lt. Governor,100.00
1558,10/24/2014,Patrick Leahy,Patrick Leahy,"Candidate for State Senate, 2nd Hampden and Hampshire",100.00
1558,11/24/2014,James Welch,James T. Welch,"State Senator, Hampden",100.00
1558,07/21/2014,John Keenan,John F. Keenan,"State Senator, Norfolk and Plymouth",200.00
1558,09/17/2014,Jennifer Flanagan,Jennifer L. Flanagan,"State Senator, Worcester and Middlesex",100.00
1558,10/21/2014,Steve Kerrigan,Steve Kerrigan,Candidate for Lt. Governor,200.00
1558,09/16/2014,Democratic State Party,Democratic State Party,N/A,200.00
1559,02/13/2014,Martha Coakley,Martha Coakley,Governor,100.00
1559,02/13/2014,Charlie Baker,Charles Baker,Governor,100.00
1559,02/13/2014,Dan Hunt,Daniel Hunt,State Representative 13th Suffolk,100.00
1559,02/28/2014,Suzanne Bump,Suzanne Bump,State Auditor,100.00
1559,04/14/2014,Joseph Wager,Joseph F. Wagner,State Representative 8th Hampden,100.00
1559,05/08/2014,Steve Kerrigan,Steve Kerrigan,Lt. Governor,100.00
1559,05/08/2014,Barry Finegold,Barry Finegold,State Treasurer,100.00
1559,06/24/2014,Juliette Kayam,Juliette Kayyem,Governor,100.00
1559,06/24/2014,Tom Conroy,Thomas Conroy,State Treasurer,100.00
1559,08/19/2014,Tom Conroy,Thomas Conroy,State Treasurer,100.00
1559,09/30/2014,Charlie Baker,Charles Baker,Governor,100.00
1559,10/14/2014,Martha Coakley,Martha Coakley,Governor,100.00
1559,10/28/2014,Karyn Polito,Karyn Polito,Lt. Governor,100.00
1559,10/28/2014,Steve Kerrigan,Steve Kerrigan,Lt. Governor,100.00
1563,03/28/2014,Nyman,Rhonda Nyman,state rep. 5th Plymouth district,125.00
1563,10/16/2014,Terry Kennedy,Terry Kennedy,Exective Councile 6th District,100.00
1563,11/19/2014,Adam Knight,Adam Knight,Medford City Council,100.00
1570,04/09/2014,Robert Deleo,Robert DeLeo,State Representative (Winthrop),200.00
1570,04/28/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1570,06/02/2014,Charle Baker,Charles Baker,Governor,200.00
1587,04/17/2014,Paul McMurtry (McMurtry Committee),Paul McMurtry,"House of Representatives, Eleventh Norfolk (307)",200.00
1587,08/02/2014,deMacedo Committee,Viriato deMacedo,"Senate, Plymouth & Barnstable (129)",200.00
1587,08/20/2014,Rodrigues Committee,Michael J. Rodrigues,"Senate, 1st Bristol & Plymouth (143)",200.00
1587,09/30/2014,Polito Committee,Karyn Polito,Lieutenant Governor,100.00
1593,03/21/2014,Kateri Walsh,Kateri Walsh,Springfield City Council,100.00
1593,03/21/2014,Bud L. Williams,Bud L. Williams,Springfield City Council,125.00
1593,03/31/2014,Steven Grossman,Steve Grossman,Governor,200.00
1593,03/31/2014,Barry Finegold,Barry Finegold,State Treasurer,200.00
1593,04/02/2014,Stephen Kulik,Stephen Kulik,State Representative - 1st Franklin District,200.00
1593,04/10/2014,William Straus,William Straus,State Representative - 10th Bristol District,200.00
1593,04/10/2014,Orlando Ramos,Orlando Ramos,Springfield City Council,100.00
1593,04/16/2014,Harold Naughton,Harold Naughton,State Representative - 12th Worcester District,200.00
1593,04/22/2014,Angelo Puppolo,Angelo Puppolo,State Representative - 12th Hampden - District,200.00
1593,05/08/2014,Dommittee for a Democratic Senate,Committee for a Democratic Senate,Senate President's PAC,200.00
1593,05/14/2014,Joseph Wagner,Joseph F. Wagner,State Representative - 8th Hampden District,200.00
1593,05/14/2014,a Democratic House,Democratic House Committee,Speaker of the House's PAC,200.00
1593,06/13/2014,Massachusetts Democratic Party,Massachusetts Democratic Party,State Democratic Party PAC,100.00
1593,06/21/2014,Melvin Edwards,Melvin Edwards,State Representative - 10th Hampden District,200.00
1593,06/25/2014,Michael Fenton,Michael Fenton,Springfield City Council,200.00
1593,06/25/2014,Timothy Rooke,Timothy Rooke,Springfield City Council,200.00
1593,07/28/2014,Timothy Allen,Timothy Allen,State Senate - 2nd Hampden Hampshire,200.00
1593,07/30/2014,James Murphy,James M. Murphy,State Representative,200.00
1593,08/30/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
1593,10/20/2014,Jose Tosado,Jose Tosado,State Representative,200.00
1593,10/20/2014,Eric Lesser,Eric Lesser,State Senate - 2nd Hampden Hampshire,200.00
1593,10/20/2014,Barbara L'Italia,Barbara L'Italien,State Senate,200.00
1593,10/20/2014,Michael Finn,Michael J. Finn,State Representative,200.00
1593,10/30/2014,Anthony Gulluni,Anthony Gulluni,Hampden County District Attorney,200.00
1593,10/30/2014,Richard Cohen,Richard Cohen,Mayor of Agawam,200.00
1593,10/30/2014,Gale Candaras,Gale Candaras,Hampden County Register of Probate,200.00
1605,01/23/2014,Charlie Baker,Charles Baker,Governor,200.00
1605,03/11/2014,Richard Moore,Richard Moore,"Senator, Worcester and Norfolk",200.00
1605,03/13/2014,James Welch,James T. Welch,"Senator, Hampden",200.00
1605,04/08/2014,Garrett Bradley,Garrett Bradley,"Representative, Third Plymouth",100.00
1605,04/09/2014,Ron Mariano,Ronald Mariano,"Representative, Third Norfolk",200.00
1605,04/09/2014,Mark Cusack,Mark J. Cusack,"Representative, Fifth Norfolk",100.00
1605,04/16/2014,Paul McMurtry,Paul McMurtry,"Representative, Eleventh Norfolk",100.00
1605,06/26/2014,Hank Naughton,Harold Naughton,"Representative, Twelfth Worcester",200.00
1605,07/31/2014,Martha Coakley,Martha Coakley,Governor,200.00
1605,10/01/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1605,10/14/2014,Brian Ashe,Brian Ashe,"House of Representatives, Second Hampden",100.00
1605,12/15/2014,Hanna Kane,Hannah Kane,"House of Representatives, Shrewsbury and Westborough",100.00
1606,08/20/2014,Jason Lewis,Jason Lewis,"Senate, 5th Middlesex (155)",100.00
1621,04/30/2014,committee to elect democratic house,Committee for a Democratic House,n/a,200.00
1621,10/28/2014,charlie baker,Charles Baker,governor,200.00
1626,01/22/2014,Jennifer Benson,Jennifer Benson,"State Representative, 37th Middlesex",200.00
1626,03/03/2014,Dan Hunt,Daniel Hunt,"State Representative, 13th Suffolk",200.00
1626,03/05/2014,Brian Dempsey,Brian Dempsey,"State Representative, 3rd Essex",200.00
1626,03/10/2014,Barry Lawton,Barry Lawton,"State Representative, 5th Suffolk",100.00
1626,03/13/2014,Richard Moore,Richard Moore,"State Senator, Worcester & Norfolk",200.00
1626,03/13/2014,James Welch,James T. Welch,"State Senator, Hampden",200.00
1626,03/13/2014,Carlo Basile,Carlo Basile,"State Representative, First Suffolk",200.00
1626,03/23/2014,Michael Moran,Michael J. Moran,"State Representative, 18th Suffolk",200.00
1626,03/27/2014,Ronald Mariano,Ronald Mariano,"State Representative, 3rd Norfolk",200.00
1626,04/01/2014,Stephen Brewer,Stephen Brewer,"State Senator, Worcester, Hampden, Hampshire & Middlesex",200.00
1626,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,"State Senator, First Essex",200.00
1626,04/09/2014,Robert DeLeo,Robert DeLeo,"State Representative, 19th Suffolk",200.00
1626,04/10/2014,Suzanne Bump,Suzanne Bump,State Auditor,200.00
1626,05/08/2014,Ellen Story,Ellen Story,"State Representative, 3rd Hampshire",100.00
1626,05/08/2014,Joseph Wagner,Joseph F. Wagner,"State Representative, 8th Hampden",200.00
1626,05/08/2014,RoseLee Vincent,RoseLee Vincent,"State Representative, 16th Suffolk",200.00
1626,05/08/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senator, First Suffolk & Middlesex",200.00
1626,05/14/2014,Michael Flaherty,Michael Flaherty,"City Councilor, Boston",100.00
1626,05/14/2014,Thomas Kennedy,Thomas P. Kennedy,"State Senator, 2nd Plymouth & Bristol",200.00
1626,05/14/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1626,08/05/2014,Michael Sullivan,Michael Sullivan,Middlesex County District Attorney,200.00
1626,09/02/2014,John Rogers,John H. Rogers,"State Representative, 12th Norfolk",200.00
1626,09/02/2014,Stephen Kerrigan,Steve Kerrigan,Lt. Governor,200.00
1626,09/02/2014,Jennifer Flanagan,Jennifer L. Flanagan,"State Senator, Worcester & Middlesex",200.00
1626,09/02/2014,John Lawn,John J. Lawn,"State Representative, 10th Middlesex",100.00
1626,09/02/2014,Diana DiZoglio,Diana DiZoglio,"State Representative, 14th Essex",200.00
1626,09/02/2014,"Thomas Golden, Jr.",Thomas A. Golden,"State Representative, 16th Middlesex",200.00
1626,09/03/2014,Warren Tolman,Warren Tolman,Attorney General,200.00
1626,12/30/2014,Benjamin Swan,Benjamin Swan,"State Representative, 11th Hampden",100.00
1626,12/30/2014,James Dwyer,James Dwyer,"State Representative, 30th Middlesex",100.00
1626,12/30/2014,James Murphy,James M. Murphy,"State Representative, 4th Norfolk",100.00
1626,12/30/2014,Lori Ehrlich,Lori Ehrlich,"State Representative, 8th Essex",100.00
1626,12/30/2014,Robert Fennell,Robert F. Fennell,"State Representative, 10th Essex",100.00
1626,12/30/2014,Angelo Puppolo,Angelo Puppolo,"State Representative, 12th Hampden",100.00
1626,12/30/2014,Michael Rush,Mike Rush,"State Representative, Norfolk & Suffolk",100.00
1626,12/30/2014,Mark Cusack,Mark J. Cusack,"State Representative, 5th Norfolk",100.00
1626,12/30/2014,Paul Brodeur,Paul Brodeur,"State Representative, 32nd Middlesex",100.00
1626,12/30/2014,Jeffrey Sanchez,Jeffrey Sánchez,"State Representative, 15th Suffolk",100.00
1626,12/30/2014,Michael Finn,Michael J. Finn,"State Representative, 6th Hampden",100.00
1626,12/30/2014,Thomas Stanley,Thomas Stanley,"State Representative, 9th Middlesex",100.00
1626,12/30/2014,Tackey Chan,Tackey Chan,"State Representative, 2nd Norfolk",100.00
1626,12/30/2014,John Scibak,John Scibak,"State Representative, 2nd Hampshire",200.00
1626,12/30/2014,Angelo Scaccia,Angelo Scaccia,"State Representative, 14th Suffolk",200.00
1626,12/30/2014,Aaron Michlewitz,Aaron Michlewitz,"State Representative, 3rd Suffolk",200.00
1626,12/30/2014,Harriet Chandler,Harriette Chandler,"State Senator, 1st Worcester",200.00
1626,12/30/2014,Benjamin Downing,Benjamin Downing,"State Senator, Berkshire, Hampshire, Franklin & Hampden",200.00
1626,12/30/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senator, Hampshire, Franklin & Worcester",200.00
1626,12/30/2014,Karen Spilka,Karen Spilka,"State Senator, 2nd Middlesex & Norfolk",200.00
1626,12/30/2014,John Mahoney,John J. Mahoney,"State Representative, 13th Worcester",100.00
1626,12/30/2014,James O'Day,James J. O'Day,"State Representative, 14th Worcester",100.00
1626,12/30/2014,David Nangle,David M. Nangle,"State Representative, 17th Middlesex",100.00
1626,12/30/2014,Barbara L'Italien,Barbara L'Italien,"State Senator, 2nd Essex & Middlesex",100.00
1626,12/30/2014,"Timothy Toomey, Jr.",Timothy Toomey,"State Representative, 26th Middlesex",200.00
1626,12/30/2014,Sal DiDomenico,Sal DiDomenico,"State Senator, Middlesex & Suffolk",200.00
1626,12/30/2014,Michael Rodriques,Michael J. Rodrigues,"State Senator, 1st Bristol & Plymouth",100.00
1626,12/30/2014,Michael Moore,Michael Moore,"State Senator, 2nd Worcester",100.00
1626,12/30/2014,John Keenan,John F. Keenan,"State Senator, Norfolk & Plymouth",100.00
1626,12/30/2014,Ann-Margaret Ferrante,Ann-Margaret Ferrante,"State Representative, 5th Essex",100.00
1626,12/30/2014,Gloria Fox,Gloria Fox,"State Representative, 7th Suffolk",100.00
1626,12/30/2014,Byron Rushing,Byron Rushing,"State Representative, 9th Suffolk",100.00
1626,12/30/2014,Garrett Bradley,Garrett Bradley,"State Representative, 3rd Plymouth",100.00
1626,12/30/2014,Michael Brady,Michael Brady,"State Representative, 9th Plymouth",100.00
1626,12/30/2014,Claire Cronin,Claire Cronin,"State Representative, 11th Plymouth",100.00
1627,08/28/2014,Martha Coakley,Martha Coakley,Governor,200.00
1627,12/31/2014,NARAL Pro-Choice Massachusetts PAC,NARAL Pro-Choice Massachusetts PAC,N/A,200.00
1631,01/08/2014,Retailers Association of MA PAC,Retailers Association of MA PAC,n/a,200.00
1631,02/25/2014,Robert DeLeo,Robert DeLeo,"Representative, 19th Suffolk",200.00
1631,03/05/2014,Brian Dempsey,Brian Dempsey,"Representative, 3rd Essex",200.00
1631,03/09/2014,James Murphy,James M. Murphy,"Representative, 4th Norfolk",200.00
1631,03/13/2014,James Welch,James T. Welch,"Senate, Hampden",100.00
1631,03/27/2014,Ronald Mariano,Ronald Mariano,"Representative, 3rd Norfolk",100.00
1631,04/02/2014,Stephen Kulik,Stephen Kulik,"Representative, 1st Franklin",100.00
1631,04/02/2014,Claire Cronin,Claire Cronin,"Representative, 11th Plymouth",100.00
1631,04/08/2014,Garrett Bradley,Garrett Bradley,"Representative, 3rd Plymouth",100.00
1631,04/16/2014,Michael Rush,Mike Rush,"Senate, Suffolk and Norfolk",100.00
1631,04/17/2014,"Viriato ""Vinny"" deMacedo",Viriato deMacedo,"Senate, Plymouth and Barnstable",200.00
1631,05/14/2014,Committee for a Democratic House PAC,Committee for a Democratic House,n/a,200.00
1631,05/14/2014,James Timilty,James Timilty,"Senate, Bristol and Norfolk",100.00
1631,05/21/2014,Kate Hogan,Kate Hogan,"Representative, 3rd Middlesex",100.00
1631,05/22/2014,Garrett Bradley,Garrett Bradley,"Representative, 3rd Plymouth",100.00
1631,06/04/2014,Robert Fennell,Robert F. Fennell,"Representative, 10th Essex",100.00
1631,07/09/2014,David Rogers,David M. Rogers,"State Representative, Twenty-Fourth Middlesex",100.00
1631,07/24/2014,Anne Gobi,Anne Gobi,"State Senate, Fifth Worcester",100.00
1631,09/24/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senate, First Suffolk and Middlesex",100.00
1631,10/01/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1631,10/08/2014,Charles Baker,Charles Baker,Governor,200.00
1631,10/16/2014,Maura Healey,Maura Healey,Attorney General,200.00
1631,12/03/2014,Martin Walsh,Martin Walsh,"Mayor, City of Boston",100.00
1644,01/02/2014,Barry Finegold,Barry Finegold,Treasurer - Statewide,200.00
1644,01/16/2014,Dan Hunt,Daniel Hunt,State House - 13th District,200.00
1644,02/23/2014,Robert DeLeo,Robert DeLeo,State House - 19th District,200.00
1644,03/13/2014,Karen Peterson,Karen Charles Peterson,State House - 5th District,200.00
1644,03/14/2014,Aaron Michelewitz,Aaron Michlewitz,State House - 3rd District,200.00
1644,04/02/2014,Stephen Kulik,Stephen Kulik,State House - 1st District,100.00
1644,04/10/2014,Dom Sarno,Domenic Sarno,Mayor of Springfield,200.00
1644,04/15/2014,Pat Haddad,Patricia Haddad,State House - 5th District,100.00
1644,04/15/2014,Joseph Wagner,Joseph F. Wagner,State House - 8th District,200.00
1644,06/18/2014,Steve Kerrigan,Steve Kerrigan,Lt. Governor - Statewide,200.00
1644,06/26/2014,Warren Tolman,Warren Tolman,Attorney General - Statewide,200.00
