refid,date,recipient,recipient_cleaned,office,amount
1102,07/23/2014,Michael J. Rodrigues,Michael J. Rodrigues,State Senator of the First Bristol and Plymouth District,100.00
1102,07/29/2014,Michael J. Moran,Michael J. Moran,State Representative of the Eighteenth Suffolk District,100.00
1102,07/30/2014,James M. Murphy,James M. Murphy,State Representative of the Fourth Norfolk District,100.00
1102,07/30/2014,John J. Mahoney,John J. Mahoney,State Representative of the Thirteenth Worcester District,200.00
1102,07/30/2014,Michael J. Finn,Michael J. Finn,State Representative of the Sixth Hampden District,200.00
1102,09/24/2014,Anthony W. Petruccelli,Anthony Petruccelli,State Senator of the First Suffolk and Middlesex District,200.00
1102,10/01/2014,Charles D. Baker,Charles Baker,Republican Candidate for Governor of the Commonwealth,200.00
1102,10/14/2014,Maura Healey,Maura Healey,Democratic Candidate for Attorney General of the Commonwealth,100.00
1102,10/22/2014,Stanley C. Rosenburg,Stanley Rosenberg,"State Senate Majority Leader of the Hampshire, Franklin and Worcester District",200.00
1102,10/28/2014,John F. Keenan,John F. Keenan,State Senator of the Norfolk and Plymouth District,200.00
1102,12/03/2014,Tackey Chan,Tackey Chan,State Representative of the Second Norfolk District,200.00
1102,07/17/2014,Daniel M. Donahue,Daniel M. Donahue,State Representative of the Sixteenth Worcester District,200.00
1102,07/23/2014,Michael J. Rodrigues,Michael J. Rodrigues,State Senator of the First Bristol and Plymouth District,200.00
1102,07/25/2014,Diane DiZoglio,Diana DiZoglio,State Representative of the Fourteenth Essex District,200.00
1102,07/29/2014,Michael J. Moran,Michael J. Moran,State Representative of the Eighteenth Suffolk District,200.00
1102,07/30/2014,James M. Murphy,James M. Murphy,State Representative of the Fourth Norfolk District,100.00
1102,07/31/2014,John J. Mahoney,John J. Mahoney,State Representative of the Thirteenth Worcester District,200.00
1102,08/27/2014,Eileen M. Donoghue,Eileen Donoghue,State Senator of the Middlesex District,200.00
1102,09/05/2014,Benjamin B. Downing,Benjamin Downing,"State Senator of the Berkshire, Hampshire, Franklin and Hampden District",200.00
1102,09/24/2014,Anthony W. Petruccelli,Anthony Petruccelli,State Senator of the First Suffolk and Middlesex District,200.00
1102,10/01/2014,Charles D. Baker,Charles Baker,Republican Candidate for Governor of the Commonwealth,200.00
1102,10/02/2014,Theodore C. Speliotis,Theodore Speliotis,State Representative of the Thirteenth Essex District,200.00
1102,10/16/2014,Maura Healey,Maura Healey,Democratic Candidate for Attorney General of the Commonwealth,200.00
1102,10/22/2014,Stanley C. Rosenburg,Stanley Rosenberg,"State Senate Majority Leader of the Hampshire, Franklin, and Worcester District",200.00
1102,10/27/2014,Karyn E. Polito,Karyn Polito,Republican Candidate for Lt. Governor of the Commonwealth,200.00
1102,10/28/2014,John F. Keenan,John F. Keenan,State Senator of the Norfolk and Plymouth District,200.00
1102,10/29/2014,John J. Lawn,John J. Lawn,State Representative of the Tenth Middlesex District,200.00
1102,10/31/2014,John H. Rogers,John H. Rogers,State Representative of the Twelfth Norfolk District,100.00
1102,12/02/2014,Tackey Chan,Tackey Chan,State Representative of the Second Norfolk District,200.00
1102,07/16/2014,Daniel M. Donahue,Daniel M. Donahue,State Representative of the Sixteenth Worcester District,100.00
1102,07/23/2014,Michael J. Rodrigues,Michael J. Rodrigues,State Senator of the First Bristol and Plymouth Districts,200.00
1102,07/29/2014,Michael J. Moran,Michael J. Moran,State Representative of the Eighteenth Suffolk District,200.00
1102,07/30/2014,James M. Murphy,James M. Murphy,State Representative of the Fourth Norfolk District,100.00
1102,07/30/2014,John J. Mahoney,John J. Mahoney,State Representative of the Thirteenth Worcester District,200.00
1102,09/05/2014,Eileen M. Donoghue,Eileen Donoghue,State Senator of the Middlesex District,200.00
1102,09/08/2014,Benjamin B. Downing,Benjamin Downing,"State Senator of the Berkshire, Hampshire, Franklin and Hampden District",200.00
1102,09/24/2014,Anthony W. Petruccelli,Anthony Petruccelli,State Senator of the First Suffolk and Middlesex District,200.00
1102,10/01/2014,Charles D. Baker,Charles Baker,Republican Candidate for Governor of the Commonwealth,200.00
1102,10/09/2014,Theodore C. Speliotis,Theodore Speliotis,State Representative of the Thirteenth Essex District,200.00
1102,10/14/2014,Maura Healey,Maura Healey,Democratic Candidate for Attorney General of the Commonwealth,200.00
1102,10/22/2014,Stanley C. Rosenburg,Stanley Rosenberg,"State Senate Majority Leader of the Hampshire, Franklin and Worcester District",200.00
1102,10/28/2014,John F. Keenan,John F. Keenan,State Senator of the Norfolk and Plymouth District,200.00
1102,12/03/2014,Tackey Chan,Tackey Chan,State Representative of the Second Norfolk District,200.00
1102,07/08/2014,Michael J. Rodrigues,Michael J. Rodrigues,State Senator of the First Bristol and Plymouth District,200.00
1102,07/08/2014,John J. Mahoney,John J. Mahoney,State Representative of the Thirteenth Worcester District,200.00
1102,07/26/2014,John J. Lawn,John J. Lawn,State Representative of the Tenth Middlesex District,200.00
1102,07/26/2014,Michael J. Moran,Michael J. Moran,State Representative of the Eighteenth Suffolk District,200.00
1102,08/20/2014,James E. Timilty,James Timilty,State Senator for the Bristol and Norfolk Districts,200.00
1102,08/21/2014,Thomas P. Kennedy,Thomas P. Kennedy,State Senator for the Second Plymouth and Bristol Districts,200.00
1102,08/26/2014,James M. Cantwell,James M. Cantwell,State Representative of the Fourth Plymouth District,200.00
1102,09/11/2014,Anthony W. Petrucelli,Anthony Petruccelli,State Senator of the First Suffolk and Middlesex Districts,200.00
1102,09/11/2014,Benjamin B. Downing,Benjamin Downing,"State Senator of the Berkshire, Hampshire, Franklin and Hampden Districts",200.00
1102,09/30/2014,Michael J. Finn,Michael J. Finn,State Representative of the Sixth Hampden District,200.00
1102,10/01/2014,Charles D. Baker,Charles Baker,Republican Candidate for Governor,200.00
1102,10/18/2014,John F. Keenan,John F. Keenan,State Senator for the Norfolk and Plymouth Districts,200.00
1102,11/01/2014,Stanley C. Rosenberg,Stanley Rosenberg,"State Senator of the Hampshire, Franklin and Worcester Districts",200.00
1104,03/14/2014,Brian Dempsey,Brian Dempsey,State Rep. 3rd Essex,200.00
1104,03/14/2014,Harriette Chandler,Harriette Chandler,State Sen. 1st Worcester,200.00
1104,05/09/2014,St Auburn Committee,St Auburn Committee,State Auditor,200.00
1104,10/06/2014,Barbara L'Italien,Barbara L'Italien,State Senate 2nd Essex and Middlesex,200.00
1104,12/04/2014,Stanley Rosenberg,Stanley Rosenberg,State Senate Hampshire and Franklin,200.00
1109,01/28/2014,Anthony Petrucelli,Anthony Petruccelli,"Senate, 1st Suffolk & Middlesex",100.00
1109,02/10/2014,Steve Grossman,Steve Grossman,Governor,100.00
1109,04/16/2014,Warren Tolman,Warren Tolman,Attorney General,100.00
1109,08/13/2014,Warren Tolman,Warren Tolman,Attorney General,100.00
1109,08/21/2014,Steven Kerrigan,Steve Kerrigan,Lt. Governor,100.00
1112,02/06/2014,Dan Hunt,Daniel Hunt,House representatives 13th Suffolk,100.00
1112,04/03/2014,Robert DeLeo,Robert DeLeo,House representatives-19th Suffolk,200.00
1112,05/16/2014,Stanley Rosenberg,Stanley Rosenberg,"Senator-Hampshire, Franklin & Worcester",200.00
1112,06/04/2014,Patricia Haddad,Patricia Haddad,House of Representatives-5th Bristol,200.00
1112,06/04/2014,Dan Cullinane,Daniel Cullinane,House of Representatives 12th Suffolk,100.00
1112,06/18/2014,Harriette Chandler,Harriette Chandler,Senator-1st Worcester,200.00
1112,08/25/2014,Maura Healey,Maura Healey,Candidate for Atty General,200.00
1112,09/17/2014,Martha Coakley,Martha Coakley,Candidate for Governor,200.00
1112,09/20/2014,Charlie Baker,Charles Baker,Candidate for Governor,200.00
1112,10/01/2014,Barbara L'Italien,Barbara L'Italien,Candidate for Senate Second Middlesex & Essex,100.00
1112,10/02/2014,John Keenan,John F. Keenan,State Senator Norfolk & Plymouth District,100.00
1117,01/27/2014,Michael J. Rodriques,Michael J. Rodrigues,"State Senator
1st Bristol & Plymouth",200.00
1117,03/12/2014,Robert A. DeLeo,Robert DeLeo,"State Representative
19th Suffolk",200.00
1117,03/17/2014,Barry R. Finegold,Barry Finegold,State Treasurer and Receiver General,200.00
1117,03/27/2014,Ronald Mariano,Ronald Mariano,"State Representative
3rd Norfolk",200.00
1117,04/07/2014,Therese Murray,Therese Murray,"State Senator
Plymouth & Barnstable",200.00
1117,05/01/2014,Anthony W. Petruccelli,Anthony Petruccelli,"State Senator
1st Suffolk & Middlesex",200.00
1117,06/11/2014,Bruce E. Tarr,Bruce Tarr,"State Senator
1st Essex & Middlesex",200.00
1117,06/18/2014,Thomas A. Golden,Thomas A. Golden,"State Representative
16th Middlesex",200.00
1117,09/10/2014,Karyn Polito,Karyn Polito,Candidate for Lt. Governor,200.00
1117,10/16/2014,Theodore Speliotis,Theodore Speliotis,"State Representative, 13th Essex District",200.00
1117,10/22/2014,Charlie Baker,Charles Baker,Candidate for Governor,200.00
1117,10/28/2014,Steve Kerrigan,Steve Kerrigan,Candidate for Lt. Governor,200.00
1215,01/31/2014,Charlie Baker,Charles Baker,Candidate for Governor,200.00
1215,06/18/2014,Karyn Polito,Karyn Polito,Candidate for Lieutenant Governor,200.00
